fabric;fabric_h1
'Tripolitanian' Sigillata;'Tripolitanian' Sigillata
Aegean Thin-Walled Ware;Aegean Thin-Walled Ware
Aegean Thin-Walled Ware (Athens?);Aegean Thin-Walled Ware (Athens?)
Aigerian;Aigerian
Aiolic Grey Ware?;Aiolic Grey Ware?
Alexandrian;Alexandrian
Ampuritan Grey Ware;Ampuritan Grey Ware
Argive;Argive
Argive?;Argive?
ARSW;ARSW
ARSW Proto;ARSW
ARSW-A;ARSW
ARSW-C;ARSW
ARSW-C/E;ARSW
ARSW-D;ARSW
Asia Minor;Asia Minor
Asia Minor (Western) Lead-glazed;Asia Minor (Western) Lead-glazed
Asia Minor Grey Ware;Asia Minor Grey Ware
Asia Minor Lead-Glazed;Asia Minor Lead-Glazed
Asia Minor Lead-Glazed?;Asia Minor Lead-Glazed?
Asia Minor Light-Coloured;Asia Minor Light-Coloured
Asia Minor Thin-Walled Ware;Asia Minor Thin-Walled Ware
Asia Minor Thin-Walled Ware?;Asia Minor Thin-Walled Ware?
Askra Ware;Askra Ware
Athenian;Athenian
Athenian?;Athenian?
Attic;Attic
Attic Fine Fabric;Attic Fine Fabric
ATTIKO Ware;ATTIKO Ware
ATTIKO Ware?;ATTIKO Ware?
Barbotine Ware;Barbotine Ware
Beverage;Beverage
Black Slip Predecessor;Black Slip Predecessor
Blister ware;Blister ware
Boeotian;Boeotian
Boeotian?;Boeotian?
Brittle ware;Brittle ware
BSP-ESA;BSP-ESA
Campana;Campana
Campana A;Campana A
Campana B;Campana B
Campana C;Campana C
Campanian;Campanian
Candarli;ESC
Candarli/PRSW;Candarli/PRSW
Central Greek Amphissa Ware?;Central Greek Amphissa Ware?
Central Greek Painted Ware;Central Greek Painted Ware
Chian;Chian
Cilician Lead-Glazed;Cilician Lead-Glazed
Coarse gray fabric;Coarse gray fabric
Coarse light brown fabric;Coarse light brown fabric
Colour-coated ware;Colour-coated ware
Constantinople (or Aigina?) white wares;Constantinople (or Aigina?) white wares
Corinthian;Corinthian
Corinthian red-slipped ware;Corinthian red-slipped ware
Corinthian red-slipped ware (late);Corinthian red-slipped ware (late)
Corinthian Relief Ware;Corinthian Relief Ware
Corinthian Thin-Walled Ware;Corinthian Thin-Walled Ware
Cream Ware;Cream Ware
Cretan?;Cretan?
CRSW;CRSW
Cypriot;Cypriot
Cypriot Colour Coated Ware;Cypriot Colour Coated Ware
Cypriot Grey Ware;Cypriot Grey Ware
Cypro-Classical red-slip fabric;Cypro-Classical red-slip fabric
Delian;Delian
Delian/Ionian;Delian/Ionian
East Greek;East Greek
East Greek Grey Ware;East Greek Grey Ware
East Greek Red Slip;East Greek Red Slip
Egyptian;Egyptian
Egyptian Faience;Egyptian Faience
Ephesian;Ephesian
Ephesian Grey Ware;Ephesian Grey Ware
Ephesian Relief Ware;Ephesian Relief Ware
ERSW;ERSW
ERSW-A;ERSW
ERSW-B;ERSW
ERSW-C;ERSW
ESA;ESA
ESA Grey Ware;ESA Grey Ware
ESB;ESB
ESBI;ESB
ESBI-II;ESB
ESBII;ESB
ESC;ESC
ESC/Candarli;ESC
ESD;ESD
Etrurian;Etrurian
Fine Byzantine Ware;Fine Byzantine Ware
Fine gray fabric;Fine gray fabric
Fine light brown fabric;Fine light brown fabric
Gaulish grey ware (south);Gaulish grey ware (south)
Gaulish Sigillata;Gaulish Sigillata
Gaulish Sigillata-La Graufesenque;Gaulish Sigillata
Gaulish Sigillata, Banassac;Gaulish Sigillata
Gaulish Sigillata, Central Gaulish, Lezoux;Gaulish Sigillata
Gaulish Sigillata, South Gaulish;Gaulish Sigillata
