icrates_id,deposit_id,location_id,fabric_id,standard_form_id,standard_form_publication_uncertain,standard_form_icrates,deposit_lower_date,deposit_upper_date,fabric,fabric_h1,standard_form,fabric,standard_typo_chronological_lower_date,standard_typo_chronological_upper_date
1,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
2,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
3,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
4,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
5,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
6,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
7,1705.0,40.0,51.0,1270.0,0,,,,ESC,esc,M-ST20,ESC,-25.0,125.0
8,1705.0,40.0,51.0,1270.0,0,,,,ESC,esc,M-ST20,ESC,-25.0,125.0
9,1705.0,40.0,51.0,1278.0,0,,,,ESC,esc,M-ST30,ESC,-75.0,75.0
10,1705.0,40.0,51.0,1252.0,0,,,,ESC,esc,M-SSa4,ESC,-25.0,75.0
11,1705.0,40.0,51.0,1252.0,0,,,,ESC,esc,M-SSa4,ESC,-25.0,75.0
12,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
13,1705.0,40.0,51.0,1249.0,0,,,,ESC,esc,M-SSa3,ESC,-50.0,75.0
14,1705.0,40.0,51.0,1249.0,0,,,,ESC,esc,M-SSa3,ESC,-50.0,75.0
15,1705.0,40.0,51.0,1243.0,0,,,,ESC,esc,M-SSa25,ESC,-25.0,75.0
16,1705.0,40.0,51.0,1243.0,0,,,,ESC,esc,M-SSa25,ESC,-25.0,75.0
17,1705.0,40.0,51.0,1243.0,0,,,,ESC,esc,M-SSa25,ESC,-25.0,75.0
18,1705.0,40.0,51.0,1243.0,0,,,,ESC,esc,M-SSa25,ESC,-25.0,75.0
19,1705.0,40.0,51.0,1243.0,0,,,,ESC,esc,M-SSa25,ESC,-25.0,75.0
20,1705.0,40.0,51.0,1243.0,0,,,,ESC,esc,M-SSa25,ESC,-25.0,75.0
21,1705.0,40.0,51.0,1245.0,0,,,,ESC,esc,M-SSa27a,ESC,50.0,175.0
22,1705.0,40.0,51.0,1245.0,0,,,,ESC,esc,M-SSa27a,ESC,50.0,175.0
23,1705.0,40.0,51.0,1245.0,0,,,,ESC,esc,M-SSa27a,ESC,50.0,175.0
24,1705.0,40.0,51.0,1245.0,0,,,,ESC,esc,M-SSa27a,ESC,50.0,175.0
25,1705.0,40.0,51.0,1245.0,0,,,,ESC,esc,M-SSa27a,ESC,50.0,175.0
26,1705.0,40.0,51.0,1245.0,0,,,,ESC,esc,M-SSa27a,ESC,50.0,175.0
27,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
28,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
29,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
30,1705.0,40.0,26.0,922.0,0,,,,Candarli,esc,LRP2,Candarli,100.0,200.0
31,1705.0,40.0,51.0,1271.0,0,,,,ESC,esc,M-ST22,ESC,1.0,100.0
32,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
33,1705.0,40.0,51.0,1238.0,0,,,,ESC,esc,M-SSa17a,ESC,1.0,125.0
34,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
35,1705.0,40.0,26.0,824.0,0,,,,Candarli,esc,LRP,Candarli,,
36,1705.0,40.0,51.0,1237.0,0,,,,ESC,esc,M-SSa16,ESC,1.0,200.0
37,1705.0,40.0,51.0,1264.0,0,,,,ESC,esc,M-SSu25,ESC,-75.0,25.0
38,1705.0,40.0,51.0,1259.0,0,,,,ESC,esc,M-SSu19a,ESC,-75.0,100.0
39,1705.0,40.0,51.0,1259.0,0,,,,ESC,esc,M-SSu19a,ESC,-75.0,100.0
40,1705.0,40.0,51.0,1260.0,0,,,,ESC,esc,M-SSu19a-b,ESC,-75.0,75.0
41,1705.0,40.0,51.0,1180.0,0,,,,ESC,esc,M-S,ESC,,
42,1705.0,40.0,51.0,1263.0,0,,,,ESC,esc,M-SSu23a-b,ESC,-125.0,25.0
43,1705.0,40.0,51.0,1263.0,0,,,,ESC,esc,M-SSu23a-b,ESC,-125.0,25.0
44,1705.0,40.0,51.0,1263.0,0,,,,ESC,esc,M-SSu23a-b,ESC,-125.0,25.0
45,1705.0,40.0,51.0,1253.0,0,,,,ESC,esc,M-SSu10,ESC,-50.0,50.0
46,1705.0,40.0,51.0,1261.0,0,,,,ESC,esc,M-SSu21,ESC,-50.0,175.0
47,1705.0,40.0,51.0,1262.0,0,,,,ESC,esc,M-SSu22a,ESC,75.0,300.0
48,1705.0,40.0,51.0,1255.0,0,,,,ESC,esc,M-SSu14,ESC,1.0,200.0
49,1705.0,40.0,51.0,1255.0,0,,,,ESC,esc,M-SSu14,ESC,1.0,200.0
50,1705.0,40.0,51.0,1255.0,0,,,,ESC,esc,M-SSu14,ESC,1.0,200.0
51,1705.0,40.0,51.0,1255.0,0,,,,ESC,esc,M-SSu14,ESC,1.0,200.0
52,1705.0,40.0,51.0,1255.0,0,,,,ESC,esc,M-SSu14,ESC,1.0,200.0
53,1705.0,40.0,51.0,1255.0,0,,,,ESC,esc,M-SSu14,ESC,1.0,200.0
54,1705.0,40.0,51.0,1255.0,0,,,,ESC,esc,M-SSu14,ESC,1.0,200.0
55,1705.0,40.0,51.0,1255.0,0,,,,ESC,esc,M-SSu14,ESC,1.0,200.0
56,1705.0,40.0,51.0,1255.0,0,,,,ESC,esc,M-SSu14,ESC,1.0,200.0
57,1705.0,40.0,51.0,1255.0,0,,,,ESC,esc,M-SSu14,ESC,1.0,200.0
58,1705.0,40.0,51.0,1255.0,0,,,,ESC,esc,M-SSu14,ESC,1.0,200.0
59,1705.0,40.0,51.0,1266.0,0,,,,ESC,esc,M-SSu9,ESC,-25.0,175.0
60,1705.0,40.0,51.0,1266.0,0,,,,ESC,esc,M-SSu9,ESC,-25.0,175.0
